points_per_drive_home_away_off_diff,qb_epa_home_away_off_diff,epa_home_away_off_diff,total_points_home_away_off_diff,win_prob_added_home_away_off_diff,total_yards_home_away_off_diff,redzone_drive_count_home_away_off_diff,total_tds_home_away_off_diff,yards_per_play_home_away_off_diff,redzone_touchdowns_home_away_off_diff,passing_yards_per_attempt_home_away_off_diff,sacks_allowed_home_away_def_diff,week #,home_team,away_team
0.9730178155178157,13.77851915359497,13.085900783538818,6.600000381469727,0.35562311112880707,53.9000244140625,0.5444444444444447,0.8000000715255737,1.065239429473877,0.8666666666666669,1.1438722610473633,-1.6000001430511475,5.0,ARI,TEN
1.203584193584193,10.123556911945343,11.54327404499054,12.80000114440918,0.18210899457335472,72.19998168945312,1.4,1.8000000715255737,1.266833782196045,1.8,2.7778429985046387,-1.0,5.0,BAL,HOU
1.6802466977466977,18.418607711791992,18.418607711791992,16.799999237060547,0.5192232541739941,87.10000610351562,1.3111111111111113,2.0999999046325684,1.2535762786865234,1.5444444444444445,1.583493709564209,-2.3000000715255737,5.0,BUF,NE
0.3068686868686865,2.513238102197647,2.43787682056427,4.700000762939453,0.1862303391098976,-4.899993896484375,0.5444444444444447,0.5,0.13802051544189453,0.19999999999999996,-0.30777883529663086,-1.0999999046325684,5.0,CAR,MIA
0.01928682428682471,-1.2392082214355469,-2.777942657470703,0.0,0.01557973027229309,-20.5,0.2999999999999998,0.20000004768371582,-0.16820430755615234,0.6000000000000001,-1.156684398651123,1.0999999046325684,5.0,CIN,DET
-0.6869558219558223,-16.34891438484192,-16.595664739608765,-8.100000381469727,-0.5662542432546616,-44.79998779296875,-1.3555555555555552,-0.6000001430511475,-1.0474843978881836,-0.4666666666666668,-2.168519973754883,1.1000001430511475,5.0,CLE,MIN
-0.009521034521033922,-3.2891178131103516,-3.109110474586487,-1.6000003814697266,-0.3215475082397461,-29.70001220703125,0.40000000000000036,0.20000004768371582,-0.24624156951904297,0.2999999999999998,-0.11731195449829102,0.9999998807907104,5.0,NYJ,DAL
0.5156332556332557,3.378359317779541,3.6621439456939697,4.700000762939453,0.11568937450647354,48.0,0.9000000000000004,1.0,0.15008831024169922,0.5999999999999999,1.4181485176086426,0.7999999523162842,5.0,PHI,DEN
0.489213564213564,5.3829344511032104,5.3829344511032104,4.099998474121094,0.18059120327234268,35.0999755859375,1.4,0.5,0.9267396926879883,0.7,1.2437744140625,-1.7999999523162842,5.0,IND,LV
-0.04868492618492626,1.2499768733978271,0.9220311641693115,0.7999992370605469,-0.12505826354026794,38.600006103515625,-0.2777777777777777,-0.39999985694885254,0.7087349891662598,-0.5444444444444447,1.018610954284668,-0.8000000715255737,5.0,JAX,KC
-0.4778477078477077,-9.158080101013184,-9.509868025779724,-0.6000003814697266,-0.0846923440694809,14.70001220703125,0.20000000000000018,-0.3000001907348633,0.22545719146728516,-0.5,0.30867481231689453,-0.5,5.0,LAC,WAS
0.33591686091686124,-0.9064874351024628,-0.8059319853782654,2.6000003814697266,0.027415558695793152,-22.79998779296875,0.10000000000000009,0.10000014305114746,-0.5436267852783203,0.30000000000000004,-0.32941436767578125,-0.09999990463256836,5.0,LA,SF
-0.008261738261738039,-1.0038962364196777,-2.9022278785705566,-0.5,-0.16558229364454746,-16.0,-0.19999999999999973,-0.3000001907348633,0.014993667602539062,0.0,0.2031540870666504,-0.19999980926513672,5.0,NO,NYG
-0.8159595959595962,-10.86552119255066,-11.383543968200684,-7.5,-0.44660110771656036,-73.69998168945312,-0.7999999999999998,-1.1000001430511475,-0.8332505226135254,-0.7999999999999998,-0.1066436767578125,1.1000001430511475,5.0,SEA,TB
