passing_yards_diff,rushing_yards_diff,total_yards_diff,total_points_diff,passing_tds_diff,rushing_tds_diff,turnovers_diff,home_diff,passing_yards_allowed_diff,rushing_yards_allowed_diff,total_yards_allowed_diff,total_points_allowed_diff,passing_tds_allowed_diff,rushing_tds_allowed_diff,turnovers_forced_diff,win_diff,week #,home_team,away_team
25.800003051757812,71.60000610351562,106.0,10.200000762939453,0.19999992847442627,0.5999999642372131,-0.7000000476837158,1.0,-14.600006103515625,-44.00000762939453,-63.699981689453125,-14.80000114440918,-1.3000000715255737,-0.5,0.3999999761581421,0.6,2.0,ARI,CAR
17.099990844726562,-32.29999542236328,-27.5,5.100000381469727,1.0,-0.5,-0.10000002384185791,1.0,-1.699981689453125,-25.099998474121094,-33.0,-10.200000762939453,-1.3999998569488525,-0.09999996423721313,0.7000000476837158,0.5,2.0,MIN,ATL
16.29998779296875,71.50000762939453,95.79998779296875,16.399999618530273,1.2000000476837158,1.0000000447034836,-0.699999988079071,1.0,7.399993896484375,-61.59999084472656,-57.699981689453125,-9.600000381469727,-0.10000002384185791,-0.8999999761581421,0.19999992847442627,0.6,2.0,BAL,CLE
-7.6999969482421875,-20.800003051757812,-39.399993896484375,-5.0,0.3999999761581421,-1.0000000596046448,0.30000001192092896,1.0,-91.79998779296875,-1.100006103515625,-106.30001831054688,-3.799999237060547,-0.5,0.0,-0.20000004768371582,-0.3,2.0,NYJ,BUF
99.30001831054688,46.899993896484375,162.80001831054688,20.500000953674316,1.5,1.3999999463558197,-0.40000003576278687,1.0,10.300018310546875,-31.300003051757812,-23.600006103515625,-2.0,0.10000002384185791,0.0,-0.2999999523162842,0.8,2.0,DET,CHI
78.79998779296875,15.5,89.69998168945312,12.80000114440918,1.7999999523162842,0.09999996423721313,-0.3999999761581421,1.0,-29.5,-13.400009155273438,-46.0,-2.299999237060547,-0.20000004768371582,-0.2999999523162842,0.8999999463558197,0.4,2.0,CIN,JAX
57.80000305175781,-32.79999542236328,22.399993896484375,0.7000007629394531,0.10000002384185791,-0.4000000059604645,0.2999999523162842,1.0,26.399993896484375,10.699996948242188,34.29998779296875,6.0,0.6000000238418579,1.0999999642372131,0.40000003576278687,0.09999999999999998,2.0,DAL,NYG
-4.600006103515625,52.399993896484375,51.5,2.799999237060547,-0.30000007152557373,0.800000011920929,0.0,1.0,-7.699981689453125,16.20000457763672,15.600006103515625,-0.1999988555908203,-0.2999999523162842,0.40000003576278687,0.6000000238418579,0.19999999999999996,2.0,IND,DEN
16.100006103515625,29.100006103515625,55.5,1.2999992370605469,0.2999999523162842,-0.5,0.7999999523162842,1.0,-38.30000305175781,-66.99999237060547,-106.19998168945312,-9.699999809265137,-0.5,-0.7000000476837158,0.7000000476837158,0.20000000000000007,2.0,GB,WAS
12.600006103515625,-78.60000610351562,-73.0,-6.400001525878906,-0.7000000476837158,-0.5999999940395355,0.09999990463256836,1.0,-63.5,34.19999694824219,-31.600006103515625,0.7999992370605469,0.10000002384185791,0.19999998807907104,0.6000000238418579,0.0,2.0,HOU,TB
77.40000915527344,-83.70000457763672,0.20001220703125,-2.0,0.30000007152557373,-1.199999988079071,-0.3999999761581421,1.0,3.29998779296875,2.2000045776367188,8.600006103515625,-1.0,0.0,-0.29999998211860657,-1.0,0.30000000000000004,2.0,KC,PHI
2.6999969482421875,-29.100006103515625,-24.5999755859375,2.299999237060547,0.3999999761581421,0.19999998807907104,0.7999999523162842,1.0,46.5,4.600006103515625,44.100006103515625,9.899999618530273,0.6000000238418579,0.5,-0.5,-0.19999999999999996,2.0,LV,LAC
-15.800003051757812,6.599998474121094,-19.100006103515625,-2.1000003814697266,0.0,-0.19999998807907104,0.5,1.0,-18.0,-18.800003051757812,-25.70001220703125,1.5999984741210938,0.20000004768371582,-0.10000002384185791,0.19999992847442627,-0.39999999999999997,2.0,TEN,LA
54.100006103515625,-1.2000045776367188,63.100006103515625,7.5,0.6000000238418579,0.19999998807907104,-1.199999988079071,1.0,32.80000305175781,-29.399993896484375,-0.20001220703125,-1.2999992370605469,0.2999999523162842,-0.30000001192092896,0.30000001192092896,0.49999999999999994,2.0,MIA,NE
-50.699981689453125,-10.400001525878906,-63.100006103515625,0.7000007629394531,-0.3999999761581421,0.19999998807907104,-0.3999999761581421,1.0,46.80000305175781,31.599990844726562,66.5,-3.700000762939453,-0.10000002384185791,-0.3999999761581421,0.10000002384185791,0.0,2.0,NO,SF
-29.0,15.5,-17.5999755859375,-0.6000003814697266,-0.19999992847442627,-0.10000002384185791,0.3999999761581421,1.0,45.300018310546875,-46.599998474121094,3.70001220703125,-2.5,0.10000002384185791,-0.4000000059604645,0.7999999523162842,-0.09999999999999998,2.0,PIT,SEA
